group_name,group_description,id
Handicraft and Printing Workers,Printers ,952
"Legal, Social and Cultural Professionals","Philosophers, Historians and Political Scientists",953
"Legal, Social, Cultural and Related Associate Professionals",Social Work Associate Professionals,954
Production and Specialized Services Managers,Aquaculture and Fisheries Production Managers,955
Science and Engineering Associate Professionals,Life Science Technicians (excluding Medical),956
Science and Engineering Associate Professionals,Process Control Technicians Not Elsewhere Classified,957
Health Associate Professionals,Medical and Dental Prosthetic Technicians,958
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Cabinet-makers and Related Workers,959
Stationary Plant and Machine Operators,Plastic Products Machine Operators,960
Refuse Workers and Other Elementary Workers,Sweepers and Related Labourers,961
Business and Administration Associate Professionals,Government Regulatory Associate Professionals Not Elsewhere Classified,962
"Legal, Social, Cultural and Related Associate Professionals",Social Work Associate Professionals,963
Business and Administration Professionals,Financial and Investment Advisers,964
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Fumigators and Other Pest and Weed Controllers,965
Customer Services Clerks,Debt Collectors and Related Workers,966
Information and Communications Technology Professionals,Software and Applications Developers and Analysts Not Elsewhere Classified,967
"Legal, Social, Cultural and Related Associate Professionals",Other Artistic and Cultural Associate Professionals,968
Business and Administration Professionals,Policy Administration Professionals,969
Science and Engineering Associate Professionals,Civil Engineering Technicians,970
Other Clerical Support Workers,Mail Carriers and Sorting Clerks,971
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",Garment and Related Patternmakers and Cutters,972
"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers","Sewing, Embroidery and Related Workers",973
Science and Engineering Associate Professionals,Manufacturing Supervisors,974
Science and Engineering Associate Professionals,Electrical Engineering Technicians,975
Sales Workers,Shop Sales Assistants,976
Science and Engineering Professionals,Industrial and Production Engineers,977
"Legal, Social and Cultural Professionals",Journalists,978
Health Associate Professionals,Medical and Dental Prosthetic Technicians,979
Science and Engineering Professionals,Landscape Architects,980
Science and Engineering Associate Professionals,Aircraft Pilots and Related Associate Professionals,981
Science and Engineering Associate Professionals,Aircraft Pilots and Related Associate Professionals,982
Production and Specialized Services Managers,Child Care Services Managers,983
Science and Engineering Associate Professionals,Metal Production Process Controllers,984
Sales Workers,Shop Sales Assistants,985
"Legal, Social, Cultural and Related Associate Professionals",Fitness and Recreation Instructors and Programme Leaders,986
"Legal, Social and Cultural Professionals","Film, Stage and Related Directors and Producers",987
Assemblers,Electrical and Electronic Equipment Assemblers,988
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",989
Information and Communications Technology Professionals,Software and Applications Developers and Analysts Not Elsewhere Classified,990
"Legal, Social and Cultural Professionals",Psychologists,991
Science and Engineering Professionals,Graphic and Multimedia Designers,992
Business and Administration Professionals,Technical and Medical Sales Professionals (excluding ICT),993
"Metal, Machinery and Related Trades Workers",Metal Moulders and Coremakers,994
Stationary Plant and Machine Operators,"Textile, Fur and Leather Products Machine Operators Not Elsewhere Classified",995
Building and Related Trades Workers (excluding Electricians),Plumbers and Pipe Fitters,996
Science and Engineering Associate Professionals,Physical and Engineering Science Technicians Not Elsewhere Classified,997
Stationary Plant and Machine Operators,Shoemaking and Related Machine Operators,998
"Metal, Machinery and Related Trades Workers",Agricultural and Industrial Machinery Mechanics and Repairers,999
Health Professionals,Pharmacists,1000
"Hospitality, Retail and Other Services Managers",Hotel Managers,1001
Science and Engineering Professionals,Industrial and Production Engineers,1002
Stationary Plant and Machine Operators,Sewing Machine Operators,1003
Production and Specialized Services Managers,Education Managers,1004
Production and Specialized Services Managers,"Supply, Distribution and Related Managers",1005
Personal Services Workers,Waiters,1006
Teaching Professionals,University and Higher Education Teachers,1007
