id,concept_type,concept_uri,preferred_label,isco_level_1,isco_level_2,isco_level_3,isco_level_4,is_top_level,job_zone,education_level,related_work_experience,on_the_job_training,annual_earnings,total_paid_hours,employment_count,employment_share,risk,prevalence,risk_category,onet_code,onet_occupation,level_1,level_2,skills_based_sector_code,sub_sector_code,skills_based_sector,sub_sector,remote_labor_index,physical_proximity,exposure_score
1667,Occupation,http://data.europa.eu/esco/occupation/8b490c1a-2f8c-4693-bcfa-ecfc88838a8e,motor vehicle engine inspector,3,31,311,3115,False,3.0,4.8745,7.523099999999999,5.2231999999999985,30984.049441786283,39.91959459459459,,,3.5842620232172484,0.5855721393034827,Other,17-3027.00,mechanical engineering technicians,0,0,1,1.1,"technicians, construction, transport & security workers",engineering technicians,0.6,0.5975,0.4888762624632127
1668,Occupation,http://data.europa.eu/esco/occupation/8b6388a4-4904-471b-9331-d3b1211f5525,ICT project manager,1,13,133,1330,True,4.0,5.8572,7.4284,4.25,50358.91542288557,37.11535087719298,10156.0,0.000315884661022593,3.4566752267876204,0.5226787620064035,Other,15-1199.09,information technology project managers,1,6,2,2.1,business & administration workers,"process managers, supervisors & coordinators",0.735849057,0.5125,0.3679366226505592
1669,Occupation,http://data.europa.eu/esco/occupation/8b828b9f-e41a-48d1-9d35-2c4378279a79,pipeline compliance coordinator,3,31,311,3119,True,4.0,5.240900000000001,6.1056,3.7549,27329.90341753343,35.66,6784.0,0.00021099122761900624,3.377751358695652,0.6764130434782609,Other,17-3025.00,environmental engineering technicians,0,4,1,1.5,"technicians, construction, transport & security workers",environmental & agriculture workers,0.48,0.465,0.4917316341257698
1670,Occupation,http://data.europa.eu/esco/occupation/8b8ae0a5-342c-43ae-b856-e1fea6fd6d1c,power tool repair technician,7,74,741,7412,True,3.0,3.132,5.2154,4.1054,32003.736923076918,41.7291777188329,20034.0,0.0006231112045057253,3.3167163696464503,0.9185110663983902,Low risk,49-2092.00,"electric motor, power tool, and related repairers",0,2,1,1.3,"technicians, construction, transport & security workers","industrial technicians, mechanics & repairers",0.083333333,0.5975,0.7400731947128608
1671,Occupation,http://data.europa.eu/esco/occupation/8b97d85f-4a7a-4908-aa72-9c947c0cb0cd,carpet handicraft worker,7,73,731,7318,True,2.0,2.023,2.9116,3.2023,21611.48780487805,37.80348837209302,2046.0,6.36451146858395e-05,3.5381869876457683,0.6986491167301697,Other,51-6063.00,"textile knitting and weaving machine setters, operators, and tenders",7,33,8,8.2,"textile, clothing, leather & footwear manufacturing workers",textile workers,0.176470588,0.4425,0.6036652754714321
1672,Occupation,http://data.europa.eu/esco/occupation/8b98dbc3-11f7-4720-86de-dcecee368be1,blow moulding machine operator,8,81,814,8142,True,2.0,2.5608000000000004,4.7591,3.896,24469.8,39.91818181818182,958.0,2.9784956600131635e-05,3.4503026437847875,0.8093692022263451,Other,51-9041.00,"extruding, forming, pressing, and compacting machine setters, operators, and tenders",3,17,4,4.2,manufacturing workers,chemical manufacturing workers,0.1,0.66,0.7707139547199078
1673,Occupation,http://data.europa.eu/esco/occupation/8ba8acb8-c0f2-4679-ae15-3a4f6e876c6f,plastic rolling machine operator,8,81,814,8142,True,2.0,1.8230000000000002,3.8068,4.482199999999999,24469.8,39.91818181818182,958.0,2.9784956600131635e-05,3.4990664761202286,0.8530333763599485,Other,51-4022.00,"forging machine setters, operators, and tenders, metal and plastic",3,16,4,4.1,manufacturing workers,metal workers & machine operators,0.230769231,0.65,0.7071067810804815
1674,Occupation,http://data.europa.eu/esco/occupation/8bbac392-3d62-4c46-a56e-3f244fdda216,orthopaedic supply shop manager,1,14,142,1420,False,2.0,2.6519999999999997,5.8856,3.8875,27994.312080536914,37.419054652880355,,,3.409419104820805,0.4965509039010465,Other,41-1011.00,first-line supervisors of retail sales workers,2,13,3,3.3,sales & services workers,shop & services managers,0.526315789,0.6575,0.5580746981654875
1675,Occupation,http://data.europa.eu/esco/occupation/8bc48c43-d976-458a-9e3c-ee784572351d,industrial tool design engineer,2,21,214,2144,False,4.0,5.8789,7.3698,3.9496,34707.347469220236,40.44157043879907,,,3.5510551493594176,0.5266278035767217,Other,17-2141.00,mechanical engineers,4,22,5,5.3,engineers & researchers,"mechanical engineers, designers & drafters",0.6122448979999999,0.5825,0.4752550335504087
1676,Occupation,http://data.europa.eu/esco/occupation/8bc845cb-0702-47e4-aabc-4036032b0a8d,shipping agent,3,33,333,3331,False,2.0,2.2081,4.4214,2.995,30724.69957081545,36.616546762589934,,,3.5565095514950174,0.5023730422401521,Other,43-5011.00,cargo and freight agents,9,39,10,10.2,logistics workers,import export specialists,0.47826087,0.645,0.580104937791431
1677,Occupation,http://data.europa.eu/esco/occupation/8bd74371-1818-47d5-a253-d703c51c5f26,copy editor,2,26,264,2642,False,4.0,6.1377,6.500799999999999,2.8184,32229.535433070865,34.13584905660377,,,3.5700093733261933,0.6577396893411892,Other,27-3022.00,reporters and correspondents,5,24,6,6.2,arts & media workers,"journalists, publishers & composers",0.818181818,0.545,0.3147870854879533
1678,Occupation,http://data.europa.eu/esco/occupation/8befd482-70e2-4d1e-8a09-091e15fe85c3,Freinet school teacher,2,23,234,2342,True,4.0,6.3814,4.159699999999999,3.8837,26474.169550173006,28.480269058295963,111611.0,0.0034714050236692145,3.456753559741753,0.5170469620589015,Other,25-2012.00,"kindergarten teachers, except special education",6,29,7,7.2,education workers,teachers & childcare workers,0.565217391,0.855,0.6097041337361917
1679,Occupation,http://data.europa.eu/esco/occupation/8bf76ba6-e661-4574-9887-4f2cb943835a,political affairs officer,2,24,242,2422,True,5.0,10.1656,3.3995000000000006,2.2996000000000003,33292.98633257403,35.24056603773585,36261.0,0.001127823135065743,3.4702514348182567,0.5690079256627495,Other,19-3094.00,political scientists,1,10,2,2.5,business & administration workers,public officials,1.0,0.3075,0.0
1680,Occupation,http://data.europa.eu/esco/occupation/8c0524b8-f878-4c68-8293-698d07c1807c,"wholesale merchant in agricultural raw materials, seeds and animal feeds",3,33,332,3324,False,3.0,3.9402,5.9965,4.2066,38128.94894561598,36.6957603686636,,,3.4817149829906824,0.3557166099689396,Other,13-1022.00,"wholesale and retail buyers, except farm products",2,15,3,3.5,sales & services workers,wholesale merchants,,0.575,
1681,Occupation,http://data.europa.eu/esco/occupation/8c0cc417-6b09-4082-8062-2f0f7123a573,import export manager in office machinery and equipment,1,13,132,1324,False,4.0,6.1669,7.8994,4.166600000000002,38833.807914262165,36.60719424460432,,,3.6143494131780787,0.4670548008501986,High risk,11-3071.03,logistics managers,9,40,10,10.3,logistics workers,import export managers,0.651162791,0.4825,0.4102608357405079
1682,Occupation,http://data.europa.eu/esco/occupation/8c0f59c9-9a47-42e7-8287-aab19df4e6ab,microelectronics engineer,2,21,215,2152,False,4.0,5.8123000000000005,7.045800000000002,4.3592,37361.44129554656,38.950526315789475,,,3.6153232259423036,0.5262160454832597,Other,17-2072.00,"electronics engineers, except computer",4,21,5,5.2,engineers & researchers,various engineers & architects,0.7222222220000001,0.5125,0.3773077142399821
1683,Occupation,http://data.europa.eu/esco/occupation/8c3f536e-ba66-4321-ba40-363dc39f129b,architect,2,21,216,2161,True,4.0,7.1479,6.2583,5.8148,40712.0,36.811864406779655,9452.0,0.00029397435918569704,3.4246108441287086,0.7529251984956122,Other,17-1011.00,"architects, except landscape and naval",4,21,5,5.2,engineers & researchers,various engineers & architects,0.615384615,0.5275,0.4504271479246117
1684,Occupation,http://data.europa.eu/esco/occupation/8c57af09-719c-42b3-be40-6ed4946236cc,database administrator,2,25,252,2521,True,4.0,6.4392999999999985,7.671200000000002,4.1907,39651.4990403071,36.59437299035369,,,3.56139837398374,0.5567479674796746,Other,15-1141.00,database administrators,11,47,12,12.3,ict workers,data workers,0.764705882,0.515,0.34810410909668965
1685,Occupation,http://data.europa.eu/esco/occupation/8c778238-98a4-4fec-a828-a4e978fb7a64,tent installer,7,72,721,7215,True,2.0,2.096,5.835099999999999,4.1827999999999985,31541.523121387287,41.37263681592041,7119.0,0.00022143089323577782,3.351712641578372,1.0,Low risk,49-9096.00,riggers,5,23,6,6.1,arts & media workers,art & media technicians,0.222222222,0.7675000000000001,0.7726217992103253
